Thursday, January 13, 2022 11:58:15.319 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=185.180.143.153(sh-ams-nl-gp1-wk115a.internet-census.org) DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=40 TOS=0x00 PREC=0x00 TTL=243 ID=33802 PROTO=TCP SPT=41345 DPT=8001 WINDOW=1024 RES=0x00 SYN URGP=0 
Thursday, January 13, 2022 11:58:10.239 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=187.207.91.142(dsl-187-207-91-142-dyn.prod-infinitum.com.mx) DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=40 TOS=0x00 PREC=0x00 TTL=54 ID=171 PROTO=TCP SPT=37261 DPT=55555 WINDOW=53445 RES=0x00 SYN URGP=0 
Thursday, January 13, 2022 11:58:10.079 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=120.24.221.204 DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=60 TOS=0x00 PREC=0x00 TTL=50 ID=40903 DF PROTO=TCP SPT=57970 DPT=6379 WINDOW=29200 RES=0x00 SYN URGP=0 
Thursday, January 13, 2022 11:58:07.123 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=89.248.168.176(security.criminalip.com) DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=40 TOS=0x00 PREC=0x00 TTL=242 ID=54321 PROTO=TCP SPT=42959 DPT=1056 WINDOW=65535 RES=0x00 SYN URGP=0 
Thursday, January 13, 2022 11:58:06.935 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=68.183.130.128 DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=40 TOS=0x00 PREC=0x00 TTL=242 ID=32300 PROTO=TCP SPT=43406 DPT=9899 WINDOW=1024 RES=0x00 SYN URGP=0 
Thursday, January 13, 2022 11:57:51.367 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=192.241.219.222(zg-0104e-173.stretchoid.com) DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=40 TOS=0x00 PREC=0x00 TTL=246 ID=54321 PROTO=TCP SPT=53698 DPT=11443 WINDOW=65535 RES=0x00 SYN URGP=0 
Thursday, January 13, 2022 11:57:38.127 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=89.248.165.248(recyber.net) DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=40 TOS=0x00 PREC=0x00 TTL=245 ID=54321 PROTO=TCP SPT=45266 DPT=8443 WINDOW=65535 RES=0x00 SYN URGP=0 
Thursday, January 13, 2022 11:56:50.163 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=162.142.125.18(scanner-01.ch1.censys-scanner.com) DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=44 TOS=0x00 PREC=0x00 TTL=44 ID=55922 PROTO=TCP SPT=63454 DPT=2 WINDOW=1024 RES=0x00 SYN URGP=0 
Thursday, January 13, 2022 11:56:08.558 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=47.106.110.50 DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=60 TOS=0x00 PREC=0x00 TTL=50 ID=54247 DF PROTO=TCP SPT=58102 DPT=6379 WINDOW=29200 RES=0x00 SYN URGP=0 
Thursday, January 13, 2022 11:55:58.526 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=8.210.174.117 DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=40 TOS=0x00 PREC=0x00 TTL=244 ID=53618 PROTO=TCP SPT=41695 DPT=2375 WINDOW=1024 RES=0x00 SYN URGP=0 
Thursday, January 13, 2022 11:55:55.298 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=146.88.240.4(www.arbor-observatory.com) DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=53 TOS=0x00 PREC=0x00 TTL=245 ID=54321 PROTO=UDP SPT=35957 DPT=27020 LEN=33 
Thursday, January 13, 2022 11:55:47.498 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=113.31.117.199 DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=40 TOS=0x00 PREC=0x00 TTL=241 ID=54179 PROTO=TCP SPT=42922 DPT=2375 WINDOW=1024 RES=0x00 SYN URGP=0 
Thursday, January 13, 2022 11:55:21.150 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=219.153.65.209 DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=60 TOS=0x00 PREC=0x00 TTL=50 ID=39616 DF PROTO=TCP SPT=18280 DPT=6379 WINDOW=14600 RES=0x00 SYN URGP=0 
Thursday, January 13, 2022 11:55:11.830 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=62.233.50.175 DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=40 TOS=0x00 PREC=0x00 TTL=241 ID=55334 PROTO=TCP SPT=54173 DPT=5161 WINDOW=1024 RES=0x00 SYN URGP=0 
Thursday, January 13, 2022 11:55:10.230 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=92.63.197.14 DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=40 TOS=0x00 PREC=0x00 TTL=245 ID=10614 PROTO=TCP SPT=44713 DPT=7955 WINDOW=1024 RES=0x00 SYN URGP=0 
Thursday, January 13, 2022 11:54:55.610 PM [WAN_LOCAL-default-D]IN=eth0 OUT= MAC=44:d9:e7:07:c1:d1:00:42:5a:9e:50:19:08:00 SRC=159.65.72.141(jerry-se-do-na-west-scanners-8.do.binaryedge.ninja) DST=123.456.789.012(ip123-456-789-012.ph.ph.cox.net) LEN=44 TOS=0x00 PREC=0x00 TTL=244 ID=54321 PROTO=TCP SPT=46684 DPT=5002 WINDOW=65535 RES=0x00 SYN URGP=0 
